lambda,MLE_mu,MLE_kappa,MLE_lambda,W1(method2)_mu,W1(method2)_kappa,W1(method2)_lambda,Cramer-Rao Lower Bound of mu,Cramer-Rao Lower Bound of kappa,Cramer-Rao Lower Bound of lambda
-1.0,-4.138297662706344,-4.057667974657688,-3.9990888704668968,-3.860528674656117,-3.864142162260269,-3.6906032458976794,,,
-0.8,-4.2605179610913115,-4.077558400162172,-4.499210121489387,-4.174195108968711,-4.017012335239364,-4.41083693529696,-4.256039474948748,-4.072898266723601,-4.49686724653102
-0.6,-2.491976434924223,-3.342934932000481,-2.393693137801916,-2.117761484069674,-2.9952669762048902,-2.003835032403197,-3.8090302414398467,-3.932166387741514,-3.9301610148759805
-0.4,-1.5397409761528826,-3.146343142210128,-1.4868952011511398,-1.275138430738302,-2.875996967789829,-1.2173224045701807,-3.317552328675854,-3.8226345361521945,-3.3696972364703752
-0.2,-1.333157760528665,-3.762473350568163,-1.32187642301307,-1.2880424554406331,-3.7331535234093383,-1.2762409150161518,-2.626598232975036,-3.749088084838056,-2.6394923957363523
0.0,-1.9870248660737724,-3.84507858359145,-1.9952631329798207,-1.9971916181491085,-3.852686845598789,-2.005907675104065,,-4.549427574406514,
0.2,-1.3310712386885193,-3.763796236176913,-1.3197685177435112,-1.275974176290219,-3.7370253108792224,-1.2640245621595596,-2.626598232975036,-3.749088084838056,-2.6394923957363523
0.4,-1.57825036693611,-3.1789604423467694,-1.525820393197831,-1.284639102691503,-2.883038914892836,-1.2269202596488544,-3.317552328675854,-3.8226345361521945,-3.3696972364703752
0.6,-2.4111898006315435,-3.280704552539357,-2.312513204849339,-2.0994162867074784,-2.9792251611194724,-1.986308378185388,-3.8090302414398467,-3.932166387741514,-3.9301610148759805
0.8,-4.252485644068062,-4.073255338548031,-4.496378211123402,-4.166812435219205,-4.0104578181686135,-4.405171521294942,-4.256039474948748,-4.072898266723601,-4.49686724653102
# 1.0,-4.9370639215376375,-4.334855663352265,-6.867127207654836,-3.7110814215032732,-3.7736695538890603,-3.5171781574450733,,,
