rho,MLE_mu_mse,MLE_KL,MLE_W1,MLE_W2,MLE_W1_sq,MLE_W2_sq,W1(method2)_mu_mse,W1(method2)_KL,W1(method2)_W1,W1(method2)_W2,W1(method2)_W1_sq,W1(method2)_W2_sq,W2(method3)_mu_mse,W2(method3)_KL,W2(method3)_W1,W2(method3)_W2,W2(method3)_W1_sq,W2(method3)_W2_sq
0.05,0.0021907829631270677,1.1568668084684254e-05,0.003661420888873143,0.004177414809484598,1.6196388581338875e-05,2.0759743494479225e-05,0.0021776398347869716,1.1679730618865724e-05,0.003698415076525181,0.004217005116788847,1.6374267355045125e-05,2.0983448064798428e-05,0.001980676331572999,1.2196105859936897e-05,0.0037413433426371173,0.004273896523966769,1.7202367124755362e-05,2.206459332245095e-05
0.15,0.00027935199835632524,0.00013980605470829556,0.0077681326612165005,0.009177525239697996,6.074233292592339e-05,8.55416139523723e-05,0.00028444849225486916,0.00014073348503999093,0.007817437481451792,0.009274780331829062,6.15856093675281e-05,8.751325004183609e-05,0.0003333136074765098,0.00014127169298067037,0.007852915117839577,0.009345563620745961,6.216988077103734e-05,8.897963941490735e-05
0.25,7.89399686678987e-05,0.0010374491177013603,0.020074292355085465,0.02287954861031099,0.00040302162450284623,0.0005239304653643375,8.633963614901736e-05,0.0010394606408036648,0.02010841107861512,0.022906950932641012,0.00040443018242830803,0.000525410794082435,0.00010627255786967025,0.0010393951465102406,0.020095542288038476,0.022742000229266382,0.0004038746144994116,0.0005174806450465862
0.35,3.544217392740235e-05,0.004157047821865828,0.038924434837461434,0.044561696330707855,0.001515121561581899,0.00198612882096689,3.885488875783742e-05,0.0041590656937410975,0.03893355727608807,0.04441873936753643,0.0015158330398782197,0.0019734093080419537,4.4632543585797206e-05,0.004177289747022755,0.03905024999577201,0.0438353558831488,0.001524957729820423,0.0019215977920057884
0.45,1.6974093101970754e-05,0.012178095718686275,0.0639171729602274,0.07423172823788025,0.0040854067312787725,0.005510765252348858,1.895475734597933e-05,0.012180299607110978,0.06392672865039611,0.07413705084071774,0.0040866294397949995,0.005496813183584519,2.411240280551208e-05,0.012308234352450315,0.06451616958235733,0.07248743002840899,0.004162391368644187,0.00525443884523006
0.55,1.2296156700349213e-05,0.029941977976846154,0.094590585689479,0.11240110143553572,0.008947382047584357,0.012634778717527375,1.7162018620412134e-05,0.02995007850492672,0.09456583513640297,0.1134133637393996,0.008942699172382107,0.012863703598695772,1.6752676199324356e-05,0.03045330937590731,0.09635391187838989,0.10882635939329269,0.009284213186115038,0.01184318412842603
0.65,5.3132966110617835e-06,0.06660285617925867,0.12968327276405675,0.15967791785181681,0.016817769548983383,0.0254978791203805,7.100388823289555e-06,0.06695158158736628,0.12922943590658365,0.16716813501654834,0.01670024758666914,0.02794782103437878,8.852508122174261e-06,0.06807117718820997,0.1338343230076857,0.15290624753202356,0.017911810250056066,0.023380322677745247
0.75,3.4518395073057386e-06,0.14153166844382623,0.16590733209777941,0.21391254600445478,0.027525334691898534,0.04575928518998054,3.580906909955511e-06,0.1523898143284741,0.16104218241296195,0.2564624827846231,0.02593458498424141,0.06578203876390376,7.937609162153432e-06,0.14536434752195118,0.175266950387648,0.20433435062355376,0.030718816180333695,0.04175252777337966
0.85,1.7043816489690714e-06,0.3046972103052479,0.19169572457543207,0.26371181813945965,0.03674775394260046,0.06954422242156577,1.2661619249243016e-06,0.5818882354954011,0.15492203319004894,0.3654134394391589,0.024000836578302404,0.13352957787418243,5.970401588589479e-06,0.31122913643625605,0.2083491844594849,0.2574950184102279,0.04341025444030395,0.06630368532429445
0.95,5.080462960905642e-07,0.770726974614244,0.16599085345873424,0.2483138187994519,0.027554126479806533,0.06165982715065743,1.2171835221462482e-07,3.319098036071592,0.0867677278104939,0.3023558742368503,0.00752863860215778,0.09141923802933259,4.172935403859493e-06,0.7837286883231828,0.14773091133445374,0.24600696348961867,0.02182559654330656,0.060519436968436445
