kappa,MLE_mu_mse,MLE_KL,MLE_W1,MLE_W2,MLE_W1_sq,MLE_W2_sq,W1(method2)_mu_mse,W1(method2)_KL,W1(method2)_W1,W1(method2)_W2,W1(method2)_W1_sq,W1(method2)_W2_sq,W2(method3)_mu_mse,W2(method3)_KL,W2(method3)_W1,W2(method3)_W2,W2(method3)_W1_sq,W2(method3)_W2_sq
0.5,9.849497516406724e-05,0.0008650071428565764,0.0189599895195672,0.02333752932237744,0.0003596629165541782,0.0005461357738270259,0.00010760186354319057,0.0008845726482128233,0.018730064645548366,0.02189410142915628,0.0003509063427501502,0.0004800580899129447,0.00010830878821172093,0.0009339081678741229,0.01907885429687552,0.021560633506186467,0.0003642473989178666,0.0004652776897253381
1.0,3.043960592007811e-05,0.009630744955738013,0.06321540982267138,0.09124770550336071,0.003996510443726617,0.008328787383353608,3.114816296807736e-05,0.010175354611351384,0.0604516238393833,0.077855844042634,0.0036544033224683724,0.006062576312478643,2.558872587603301e-05,0.011827143075170188,0.06313300813638736,0.0730257494509921,0.003986085943368801,0.005332776645896487
2.0,9.58228187526226e-06,0.056564569655485425,0.14487761091884027,0.2572220697682433,0.020989908610817048,0.06616500219317893,9.515753283598243e-06,0.06369463324924542,0.13297205500323706,0.2100876938580884,0.01768156798544424,0.04413785673045511,1.183997460193609e-05,0.09516180327031347,0.1480476477226757,0.18506202376301753,0.021918532620296586,0.03424795387175731
5.0,3.351490481344878e-06,0.14131243615397493,0.19217036403370666,0.4185770911466242,0.03692968871509729,0.17520748749866044,2.518718540820604e-06,0.18452238353834866,0.1642794168180503,0.32646402311956846,0.026987726835858986,0.10657910729751173,4.531909371476206e-06,0.43046850779356044,0.19817161159160854,0.2712056166859788,0.039272160225767794,0.07355248666295316
10.0,1.8917657866716927e-06,0.16422398643819555,0.17986202737492696,0.4356667213693827,0.032350592932095426,0.18980615824307104,1.5987638343977234e-06,0.2570742223119143,0.14381893405971713,0.3167293278586119,0.020683885827376916,0.10031779817468388,1.4107506429773405e-06,0.836408210535246,0.18038110639913266,0.24573113365746768,0.03253743822245971,0.06038379006781218
20.0,8.04005885836927e-07,0.17386564013415795,0.15724376066648976,0.4191903815391006,0.024725792863296327,0.17572111763460885,6.986367624711722e-07,0.33708546892047436,0.11715743842573667,0.28084244347906784,0.013725865388735414,0.07887281139554603,7.773345063845383e-07,1.490198686997112,0.15066110636159366,0.19920690437246547,0.022698831792828656,0.03968339086964555
50.0,4.1590583415662147e-07,0.17928759897123864,0.12441828090152468,0.37581621093173095,0.01548004046530502,0.14123824136154522,3.1450655200261613e-07,0.47020248430756717,0.08434131230331962,0.22320734871526557,0.00711345696532644,0.04982172824602315,3.6084576235708414e-07,1.2723613035215895,0.09415264732758846,0.15334671347770518,0.00886472100272931,0.023515214537574002
100.0,1.2736421844104436e-07,0.1810380373140821,0.10139687367147296,0.338291604103794,0.010281423018789766,0.11444155034749703,1.1669779069622022e-07,0.5947214193216098,0.06395648794583765,0.18296511551857203,0.004090432351898227,0.033476399550432384,2.6264982392626963e-07,0.9949355998465951,0.06594388559778486,0.1445972290087534,0.0043485960501877755,0.020908358638162
200.0,9.176443692881654e-08,0.18190774637916507,0.08120874388735436,0.29933240057332483,0.0065949030972052925,0.08960006013825866,8.637984293033653e-08,0.74012371604732,0.0476842871331161,0.1486355119836385,0.0022737912408555484,0.022092594758576823,3.443565768832299e-07,0.7434688891385658,0.04768615862004454,0.14833002098882228,0.0022739697296068136,0.0220017951273993
500.0,2.47820960131261e-08,0.18242352142703117,0.05934748475377116,0.2479163803979717,0.003522154819850816,0.0614626886486463,2.1576306765871983e-08,0.4653137551176853,0.03397132122748299,0.14960893258561755,0.001154050666197579,0.022382832709416343,1.5640852369587947e-08,0.4653114935284718,0.033971373587950555,0.1496089128199778,0.0011540542236509596,0.022382826795180805
