noise_rate,MLE_mu,MLE_kappa,W1(method2)_mu,W1(method2)_kappa,W2(method3)_mu,W2(method3)_kappa
0.0,-5.66331487426717,-3.340818386088828,-5.651370309250762,-3.2836377228053606,-5.659570803432815,-3.3035846219837697
0.02,-5.598485273452185,-0.3640340140980117,-5.554249089603006,-1.209821630892172,-5.507663732156708,-0.03182011243336798
0.04,-5.597077369081017,0.11894908083877202,-5.522876341482352,-0.6288157864687992,-5.457514006448342,0.3682233225621814
0.06,-5.549154080455714,0.36677165913818416,-5.470857354369355,-0.28347484050394767,-5.374605167938961,0.5625750115337957
0.08,-5.536242900560609,0.5241173309597262,-5.442442416806049,-0.0366073205456333,-5.338765271883366,0.6826172913468133
0.1,-5.49316809088107,0.6351012512425835,-5.42438337446351,0.1547040969819702,-5.286443667601698,0.7657343785106303
0.12,-5.449643081230463,0.7191854058877563,-5.37493639693789,0.31222653505934284,-5.228425199916974,0.8287007656203216
0.14,-5.417207479950589,0.7849914142803263,-5.347316383826267,0.4441054556474373,-5.203900020089722,0.8780866112840446
0.16,-5.371248809329163,0.83871442207525,-5.3130939621323465,0.5584784279070603,-5.101703080938762,0.9187384172213868
0.18,-5.377313256262662,0.883763599633657,-5.327096534442687,0.6575265133108941,-5.118250429742506,0.9532343194626118
0.2,-5.310675904848131,0.9225679832350258,-5.246479418971096,0.7440700115811055,-5.046984413407024,0.9832249872800412
