rho,MLE_mu / CR_mu,MLE_rho / CR_rho,W1(method2)_mu / MLE_mu,W1(method2)_rho / MLE_rho,W2(method3)_mu / MLE_mu,W2(method3)_rho / MLE_rho
0.05,1.0039446128117557,1.0032105058498189,1.0141445159776818,1.0176963598831257,0.9959192579034354,1.0057747392473162
0.15,0.993546209312852,1.0298896771067456,1.0143949918324962,1.0347417188760626,1.0170064544943684,1.0108640567821834
0.25,0.9815662742773585,0.9681052489088966,1.0358010658511438,1.0517790405225698,1.054846911060572,1.068149218370829
0.35,0.9994357955911859,1.0435797355880687,1.0942245883074253,1.0698867218207673,1.1589703351231062,1.1310237444130908
0.45,1.0067215627056814,1.0607202464942216,1.1241177360530596,1.115890697421404,1.2641952839577562,1.2691970724076305
0.55,1.0688118027044617,0.9540453483688097,1.1476532109706428,1.1884308056131667,1.3963846529692125,1.4425322102638694
0.65,1.0660674835031492,0.9434023871498105,1.2580863928782209,1.2690064679043909,1.770177718453182,1.7335385120547993
0.75,0.9296931416431631,0.9924220282061714,1.3607944657099544,1.344871190503398,2.3854344890026726,2.1994288226449825
0.85,1.051549154384441,1.032778970953668,1.4656875999575882,1.6963784329767275,3.585328651253356,3.7366145998788727
0.95,1.0027118800008636,1.021490642081076,1.6132246114667814,2.3346945458772743,9.567843104666995,10.054178934110318
